X,loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,rate
1656627,4200,4200, 36 months,18.06%,151.97,D,D2,Sales Associate,RENT,20000,Not Verified,Dec-17,Fully Paid,n,,credit_card,Credit card refinancing,130xx,NY,34.45,0.1806
60143,12000,12000, 36 months,9.67%,385.35,B,B1,Medical Technician,RENT,60000,Not Verified,Nov-13,Fully Paid,n,  Borrower added on 11/18/13 > This loan is to pay down some high interest credit cards and to simplify my budget by combining many payments into one lower interest loan.<br>,debt_consolidation,Bill Simplification,013xx,MA,20.76,0.0967
970369,9650,9650, 36 months,15.31%,335.99,C,C5,Primary Chef,OWN,23000,Source Verified,Feb-16,In Grace Period,n,,debt_consolidation,,559xx,MN,22.74,0.1531
1379317,5000,5000, 36 months,13.49%,169.66,C,C2,HRIS Coordinator,RENT,70000,Source Verified,Feb-17,Current,n,,credit_card,Credit card refinancing,101xx,NY,12.29,0.1349
1813205,15000,15000, 36 months,5.31%,451.66,A,A1,Senior Publicist,RENT,70000,Not Verified,Feb-18,Current,n,,debt_consolidation,Debt consolidation,900xx,CA,15.29,0.0531
728527,35000,35000, 60 months,19.99%,927.1,E,E4,Executive VP,RENT,311000,Source Verified,Jun-15,Current,n,,major_purchase,Major purchase,106xx,NY,7.77,0.1999
1028632,6500,6500, 36 months,10.99%,212.78,B,B4,Lead sales,MORTGAGE,85000,Verified,Jun-16,Current,n,,debt_consolidation,Debt consolidation,585xx,ND,22.25,0.1099
556535,6000,6000, 36 months,7.89%,187.72,A,A5,Peace Officer,RENT,60000,Source Verified,Oct-15,Fully Paid,n,,credit_card,Credit card refinancing,945xx,CA,2.94,0.0789
622883,20000,20000, 36 months,5.32%,602.3,A,A1,Account Executive,OWN,2.00E+05,Source Verified,Aug-15,Fully Paid,n,,credit_card,Credit card refinancing,957xx,CA,7.35,0.0532
564883,28000,28000, 36 months,5.32%,843.22,A,A1,Senior Management Consultant,MORTGAGE,195000,Not Verified,Oct-15,Fully Paid,n,,credit_card,Credit card refinancing,232xx,VA,25.06,0.0532
1556079,12000,12000, 36 months,9.44%,384.06,B,B1,Center Director,RENT,51500,Source Verified,Sep-17,Current,n,,debt_consolidation,Debt consolidation,968xx,HI,23.65,0.0944
1029275,8000,8000, 36 months,7.39%,248.45,A,A4,Admissions and Records Technician,RENT,50000,Source Verified,Jun-16,Current,n,,debt_consolidation,Debt consolidation,913xx,CA,17.49,0.0739
1743246,12000,12000, 36 months,7.07%,370.91,A,A2,Mental Health Therapist,RENT,51000,Source Verified,Oct-17,Current,n,,debt_consolidation,Debt consolidation,986xx,WA,1.2,0.0707
1831288,40000,40000, 36 months,6.08%,1218.33,A,A2,Finance Manager,MORTGAGE,65000,Source Verified,Feb-18,Current,n,,small_business,Business,907xx,CA,6.92,0.0608
795825,14000,14000, 36 months,6.68%,430.24,A,A3,Network Development,MORTGAGE,115000,Source Verified,Apr-15,Fully Paid,n,,debt_consolidation,Debt consolidation,559xx,MN,23.18,0.0668
1746995,22775,22775, 60 months,15.05%,542.42,C,C4,Produce Manager,MORTGAGE,50000,Not Verified,Oct-17,Current,n,,major_purchase,Major purchase,201xx,VA,32.38,0.1505
1136336,21600,21600, 36 months,13.99%,738.14,C,C3,Sales Manager,OWN,176000,Source Verified,Sep-16,Fully Paid,n,,credit_card,Credit card refinancing,214xx,MD,19.76,0.1399
367088,6500,6500, 36 months,16.29%,229.46,D,D2,Teacher,MORTGAGE,72000,Not Verified,Jun-14,Fully Paid,n,,home_improvement,Home improvement,295xx,SC,20.89,0.1629
1075214,40000,40000, 60 months,13.67%,923.91,C,C3,Operations Manager - Area Lead,RENT,85000,Verified,May-16,Charged Off,n,,debt_consolidation,Debt consolidation,752xx,TX,28.37,0.1367
1340653,26000,26000, 60 months,14.99%,618.41,C,C4,,OWN,70000,Not Verified,Mar-17,Charged Off,n,,credit_card,Credit card refinancing,442xx,OH,2.38,0.1499
1570176,7000,7000, 36 months,21.45%,265.35,D,D5,Service Rep,RENT,39800,Source Verified,Aug-17,Current,n,,credit_card,Credit card refinancing,933xx,CA,15.2,0.2145
1874380,40000,40000, 60 months,7.46%,800.76,A,A4,elementary principal ,MORTGAGE,111000,Source Verified,Jun-18,Current,n,,debt_consolidation,Debt consolidation,802xx,CO,14.98,0.0746
812939,25725,25725, 60 months,19.52%,674.71,E,E3,Operations Manager,MORTGAGE,65000,Source Verified,Mar-15,Charged Off,n,,debt_consolidation,Debt consolidation,760xx,TX,35.68,0.1952
1225887,12000,12000, 36 months,8.24%,377.37,B,B1,Lead Math Instructor,OWN,94000,Not Verified,Dec-16,Current,n,,debt_consolidation,Debt consolidation,381xx,TN,16.47,0.0824
1134665,20000,20000, 36 months,8.99%,635.91,B,B1,Financial Analyst,OWN,80000,Source Verified,Sep-16,Current,n,,debt_consolidation,Debt consolidation,917xx,CA,18.21,0.0899
2017999,17550,17550, 36 months,22.35%,673.43,D,D5,Accounting Manager,RENT,105000,Not Verified,Sep-18,Current,n,,debt_consolidation,Debt consolidation,221xx,VA,19.28,0.2235
1694325,8000,8000, 36 months,20.00%,297.31,D,D4,Staff Account,MORTGAGE,30000,Verified,Nov-17,Fully Paid,n,,moving,Moving and relocation,443xx,OH,56.08,0.2
1268081,4800,4800, 36 months,11.44%,158.15,B,B4,Strength Coach,MORTGAGE,50000,Source Verified,Nov-16,Current,n,,debt_consolidation,Debt consolidation,379xx,TN,17.09,0.1144
549865,5000,5000, 36 months,5.32%,150.58,A,A1,machinist,OWN,65000,Not Verified,Oct-15,Fully Paid,n,,other,Other,300xx,GA,28.43,0.0532
869544,5000,5000, 36 months,9.49%,160.15,B,B2,Banquet Captain,RENT,55000,Source Verified,Jan-15,Fully Paid,n,,debt_consolidation,Debt consolidation,816xx,CO,20.66,0.0949
1146805,10000,10000, 60 months,12.79%,226.46,C,C1,Supervisor,MORTGAGE,45000,Not Verified,Sep-16,Current,n,,debt_consolidation,Debt consolidation,373xx,TN,13.2,0.1279
139450,17475,17475, 36 months,19.05%,641.01,D,D4,Ralph Lauren,RENT,53000,Not Verified,May-13,Fully Paid,n,,debt_consolidation,Debt consolidation,111xx,NY,11.28,0.1905
1811958,5000,5000, 36 months,19.03%,183.36,D,D3,Anesthesia tech,RENT,40000,Verified,Feb-18,Charged Off,n,,other,Other,700xx,LA,23.01,0.1903
1982112,5000,5000, 36 months,16.01%,175.81,C,C5,Community Outreach,RENT,64200,Source Verified,Apr-18,Current,n,,credit_card,Credit card refinancing,313xx,GA,22.77,0.1601
1280397,8000,8000, 36 months,12.74%,268.56,C,C1,Executive Secretary,RENT,53706,Verified,Nov-16,Charged Off,n,,debt_consolidation,Debt consolidation,481xx,MI,24.54,0.1274
1628908,10000,10000, 36 months,7.21%,309.74,A,A3,"Manager, Physician Quality",RENT,97427,Source Verified,Jul-17,Current,n,,credit_card,Credit card refinancing,336xx,FL,18.32,0.0721
1443688,5750,5750, 36 months,13.59%,195.38,C,C2,Custodial Services,OWN,57600,Not Verified,Jun-17,Current,n,,debt_consolidation,Debt consolidation,242xx,VA,8.49,0.1359
603414,4700,4700, 36 months,13.33%,159.11,C,C3,Industrial Engineer,MORTGAGE,75180,Not Verified,Sep-15,Fully Paid,n,,debt_consolidation,Debt consolidation,430xx,OH,34.62,0.1333
1137155,5600,5600, 36 months,12.79%,188.13,C,C1,cashier,RENT,27000,Source Verified,Sep-16,Fully Paid,n,,debt_consolidation,Debt consolidation,138xx,NY,18.76,0.1279
2040458,24000,24000, 36 months,13.56%,815.15,C,C1,Laborer,RENT,58000,Not Verified,Sep-18,Current,n,,debt_consolidation,Debt consolidation,084xx,NJ,17.19,0.1356
1780820,20000,20000, 60 months,17.47%,502.12,D,D1,driver,MORTGAGE,53784.95,Source Verified,Mar-18,Current,n,,debt_consolidation,Debt consolidation,563xx,MN,8.17,0.1747
244097,1600,1600, 36 months,14.31%,54.93,C,C4,Csr,RENT,30000,Not Verified,Nov-14,Fully Paid,n,,moving,Moving and relocation,435xx,OH,31.92,0.1431
1081047,17000,17000, 36 months,11.99%,564.57,C,C1,Lead,RENT,42000,Source Verified,May-16,Fully Paid,n,,debt_consolidation,Debt consolidation,307xx,GA,17.74,0.1199
2076651,10000,10000, 60 months,13.56%,230.41,C,C1,Owner,RENT,49500,Not Verified,Aug-18,Current,n,,debt_consolidation,Debt consolidation,303xx,GA,22.42,0.1356
883423,21000,21000, 36 months,11.99%,697.41,B,B5,Director of International Operations,MORTGAGE,2.00E+05,Source Verified,Jan-15,Charged Off,n,,debt_consolidation,Credit card refinancing,070xx,NJ,21.5,0.1199
951205,21000,21000, 60 months,19.53%,550.9,D,D5,Project Manager,MORTGAGE,85000,Verified,Feb-16,Current,n,,credit_card,Credit card refinancing,305xx,GA,19.78,0.1953
1379103,15000,15000, 36 months,11.49%,494.57,B,B5,Maintenance Manager,MORTGAGE,72000,Source Verified,Feb-17,Current,n,,debt_consolidation,Debt consolidation,852xx,AZ,4.77,0.1149
1230348,39600,39600, 36 months,8.24%,1245.31,B,B1,Systems Engineer,RENT,178000,Verified,Dec-16,Fully Paid,n,,debt_consolidation,Debt consolidation,020xx,MA,15.44,0.0824
1775587,5000,5000, 36 months,6.07%,152.27,A,A2,Partner,RENT,60000,Not Verified,Mar-18,Current,n,,credit_card,Credit card refinancing,914xx,CA,28.1,0.0607
469396,6500,6500, 36 months,7.91%,203.42,A,A5,material inspector,MORTGAGE,85000,Source Verified,Dec-15,Fully Paid,n,,debt_consolidation,Debt consolidation,117xx,NY,3.97,0.0791
800360,3000,3000, 36 months,16.55%,106.29,D,D2,,RENT,26000,Verified,Apr-15,Fully Paid,n,,other,Other,923xx,CA,28.99,0.1655
1690162,32000,32000, 60 months,10.42%,686.54,B,B3,Marketing,MORTGAGE,160000,Not Verified,Nov-17,Current,n,,credit_card,Credit card refinancing,606xx,IL,9.64,0.1042
1887192,10000,10000, 60 months,14.52%,235.39,C,C3,Operation specialist ,RENT,34500,Not Verified,Jun-18,Current,n,,debt_consolidation,Debt consolidation,112xx,NY,4.52,0.1452
43012,18000,18000, 36 months,12.85%,605.2,B,B4,U.S. Marine,MORTGAGE,135000,Source Verified,Dec-13,Fully Paid,n,,credit_card,Debt Elimination,925xx,CA,17.65,0.1285
1092290,20000,20000, 36 months,13.67%,680.36,C,C3,,MORTGAGE,52000,Source Verified,May-16,Current,n,,debt_consolidation,Debt consolidation,136xx,NY,22.04,0.1367
291152,25000,25000, 36 months,9.17%,796.98,B,B1,Professor,MORTGAGE,112000,Source Verified,Oct-14,Fully Paid,n,,debt_consolidation,Debt consolidation,193xx,PA,27.72,0.0917
896811,10000,10000, 60 months,24.11%,288.32,F,F2,Office Manager,RENT,36000,Verified,Mar-16,Charged Off,n,,debt_consolidation,Debt consolidation,301xx,GA,34.57,0.2411
1920637,36000,36000, 60 months,11.05%,783.63,B,B4,Payroll Financial Analyst,MORTGAGE,51250,Source Verified,May-18,Current,n,,debt_consolidation,Debt consolidation,441xx,OH,28.95,0.1105
596858,10000,10000, 36 months,5.32%,301.15,A,A1,Territory Sales Manager,RENT,96000,Not Verified,Sep-15,Charged Off,n,,credit_card,Credit card refinancing,325xx,FL,12.14,0.0532
1015299,25000,25000, 60 months,13.99%,581.58,C,C4,Writer/Editor,RENT,81900,Verified,Jan-16,Fully Paid,n,,debt_consolidation,Debt consolidation,076xx,NJ,14.55,0.1399
1359501,24000,24000, 60 months,13.99%,558.32,C,C3,,MORTGAGE,81385,Verified,Feb-17,Charged Off,n,,home_improvement,Home improvement,373xx,TN,20.63,0.1399
888983,20000,20000, 36 months,9.75%,643,B,B3,Line driver,MORTGAGE,70000,Not Verified,Mar-16,Charged Off,n,,credit_card,Credit card refinancing,902xx,CA,20.3,0.0975
439029,17100,17100, 36 months,12.99%,576.09,B,B5,Audio/Video Engineer,RENT,62000,Not Verified,Feb-14,Fully Paid,n,"  Borrower added on 02/22/14 > This loan is to pay off credit cards that accumulated due to helping family because my father passed away, Dr. bills and car repairs.<br>",credit_card,Credit card refinancing,212xx,MD,14.05,0.1299
667912,10000,10000, 36 months,17.57%,359.38,D,D4,Technical Trainer,MORTGAGE,80000,Verified,Jul-15,Fully Paid,n,,credit_card,Credit card refinancing,083xx,NJ,21.36,0.1757
214357,12000,12000, 36 months,12.12%,399.26,B,B3,Innovative Solutions & Support,RENT,85500,Source Verified,Jun-12,Fully Paid,n,  Borrower added on 06/04/12 > I am moving 1000 miles and I want to consolidate my 3 high interest rate credit cards into one payment. this will drop my overall monthly credit card bills 33% and bring me 7 years closer to full repayment.<br>,credit_card,Credit Card Refinance,327xx,FL,11.59,0.1212
2054995,17825,17825, 60 months,18.94%,461.81,D,D2,Crew Chief,MORTGAGE,1.00E+05,Not Verified,Aug-18,Current,n,,debt_consolidation,Debt consolidation,840xx,UT,19.19,0.1894
387282,10000,10000, 60 months,24.50%,290.59,F,F3,Office manager,MORTGAGE,95000,Source Verified,May-14,Charged Off,n,,home_improvement,Home improvement,800xx,CO,4.24,0.245
222522,20000,20000, 36 months,15.81%,701.27,C,C4,Fouch Electric Mfg Inc,RENT,70000,Verified,Apr-12,Fully Paid,n,,debt_consolidation,Debt Consolidation,970xx,OR,14.65,0.1581
1834898,16800,16800, 36 months,7.35%,521.43,A,A4,HR Coordinator ,RENT,60000,Source Verified,Feb-18,Current,n,,credit_card,Credit card refinancing,207xx,MD,8.72,0.0735
1070384,30000,30000, 36 months,12.99%,1010.68,C,C2,Sales Manager,OWN,203000,Verified,May-16,Fully Paid,n,,debt_consolidation,Debt consolidation,775xx,TX,33.16,0.1299
1218146,22000,22000, 60 months,12.79%,498.21,C,C1,"Manager, Human Resources",MORTGAGE,85000,Not Verified,Jul-16,Fully Paid,n,,credit_card,Credit card refinancing,402xx,KY,21.02,0.1279
345551,29975,29925, 36 months,12.49%,1002.63,B,B5,longshoreman,MORTGAGE,92000,Source Verified,Jul-14,Fully Paid,n,,other,Debt consolidation,945xx,CA,20.6,0.1249
545952,20000,20000, 60 months,9.17%,416.82,B,B2,Business Administrator ,RENT,74000,Not Verified,Nov-15,Fully Paid,n,,debt_consolidation,Debt consolidation,606xx,IL,18.15,0.0917
2091120,18000,18000, 36 months,13.56%,611.36,C,C1,Platform Engineer,MORTGAGE,94000,Verified,Jul-18,Current,n,,credit_card,Credit card refinancing,600xx,IL,21.05,0.1356
127095,18000,17950, 36 months,10.16%,582.17,B,B1,CPS Energy,MORTGAGE,1.00E+05,Not Verified,Jun-13,Fully Paid,n,,credit_card,LendClubLoan,782xx,TX,17.92,0.1016
1221454,5500,5500, 36 months,11.44%,181.22,B,B4,Registered nurse,MORTGAGE,70000,Source Verified,Dec-16,Fully Paid,n,,debt_consolidation,Debt consolidation,281xx,NC,10.34,0.1144
969854,15000,15000, 36 months,12.99%,505.34,C,C2,Director ,RENT,60000,Not Verified,Feb-16,Fully Paid,n,,small_business,Business,980xx,WA,28.72,0.1299
250249,20000,20000, 60 months,15.59%,482.02,D,D1,Sr. Learning Consultant,RENT,85850,Source Verified,Nov-14,Fully Paid,n,,credit_card,Credit card refinancing,917xx,CA,14.37,0.1559
584049,12000,12000, 36 months,7.89%,375.43,A,A5,Sales manager,RENT,1.00E+05,Source Verified,Oct-15,Fully Paid,n,,debt_consolidation,Debt consolidation,303xx,GA,18.43,0.0789
1977269,11000,10975, 36 months,20.39%,410.99,D,D4,Branch Manager,RENT,64000,Verified,Apr-18,Current,n,,credit_card,Credit card refinancing,455xx,OH,29.06,0.2039
1344127,4600,4600, 36 months,8.24%,144.66,B,B1,Manager,RENT,42000,Source Verified,Mar-17,Fully Paid,n,,credit_card,Credit card refinancing,445xx,OH,20.31,0.0824
1198700,6400,6400, 36 months,12.79%,215,C,C1,engineer,MORTGAGE,108000,Verified,Jul-16,Current,n,,debt_consolidation,Debt consolidation,593xx,MT,20.46,0.1279
1277671,30000,30000, 60 months,13.49%,690.15,C,C2,Management,MORTGAGE,1.00E+05,Verified,Nov-16,Current,n,,debt_consolidation,Debt consolidation,640xx,MO,24.89,0.1349
485344,10000,10000, 36 months,13.18%,337.81,C,C3,Operations Manager,RENT,45000,Source Verified,Dec-15,Fully Paid,n,,credit_card,Credit card refinancing,460xx,IN,13.07,0.1318
1364942,10800,10800, 60 months,12.74%,244.3,C,C1,Orc investigator ,RENT,48000,Not Verified,Feb-17,Charged Off,n,,credit_card,Credit card refinancing,113xx,NY,16.23,0.1274
1831695,14000,14000, 36 months,5.32%,421.61,A,A1,driver,RENT,80000,Not Verified,Feb-18,Current,n,,credit_card,Credit card refinancing,112xx,NY,9.95,0.0532
1899876,8400,8400, 36 months,15.49%,293.21,C,C4,RMA,RENT,50000,Not Verified,Jun-18,Current,n,,debt_consolidation,Debt consolidation,750xx,TX,7.49,0.1549
1811006,4000,4000, 36 months,7.34%,124.14,A,A4,,RENT,12096,Verified,Feb-18,Fully Paid,n,,other,Other,071xx,NJ,3.77,0.0734
1680998,16000,16000, 60 months,11.99%,355.84,B,B5,Services,MORTGAGE,30000,Source Verified,Dec-17,Current,n,,credit_card,Credit card refinancing,461xx,IN,18.76,0.1199
1615761,7000,7000, 36 months,7.35%,217.27,A,A4,Programmer,MORTGAGE,74000,Not Verified,Jul-17,Fully Paid,n,,other,Other,461xx,IN,2.59,0.0735
1256277,14000,14000, 36 months,7.99%,438.65,A,A5,manager,MORTGAGE,70000,Not Verified,Dec-16,Current,n,,credit_card,Credit card refinancing,811xx,CO,27.28,0.0799
1620543,12000,12000, 36 months,14.08%,410.6,C,C3,Contract Accounting ,RENT,36000,Not Verified,Jul-17,Fully Paid,n,,debt_consolidation,Debt consolidation,970xx,OR,14.57,0.1408
990363,29000,29000, 36 months,19.89%,1076.12,E,E3,Franchies ,RENT,1.00E+05,Source Verified,Feb-16,Current,n,,small_business,,906xx,CA,2.15,0.1989
1675022,10000,10000, 36 months,7.97%,313.23,A,A5,Care Provider,RENT,60000,Not Verified,Dec-17,Current,n,,debt_consolidation,Debt consolidation,908xx,CA,18.82,0.0797
1737199,25000,24750, 36 months,9.44%,800.13,B,B1,"SVP, Enterprise Payments Executive",MORTGAGE,395000,Verified,Oct-17,Fully Paid,n,,car,Car financing,980xx,WA,11.2,0.0944
605360,7000,7000, 36 months,10.99%,229.14,B,B4,Nurse assistant,MORTGAGE,49000,Not Verified,Sep-15,Fully Paid,n,,medical,Medical expenses,481xx,MI,4.9,0.1099
1013845,5000,5000, 36 months,13.44%,169.54,C,C3,Portfolio Accountant,OWN,40000,Source Verified,Jan-16,Fully Paid,n,,other,Other,751xx,TX,32.85,0.1344
1928672,14000,13975, 36 months,10.56%,455.44,B,B3,Registered nurse,OWN,55000,Not Verified,May-18,Current,n,,credit_card,Credit card refinancing,480xx,MI,8.6,0.1056
2008112,7000,7000, 36 months,17.97%,252.97,D,D1,FNS Elementary lead,RENT,36000,Source Verified,Sep-18,Current,n,,debt_consolidation,Debt consolidation,957xx,CA,24.93,0.1797
1090214,15000,15000, 36 months,10.75%,489.31,B,B4,Warehouse Clerk,MORTGAGE,42868.8,Verified,Apr-16,Fully Paid,n,,debt_consolidation,,302xx,GA,25.36,0.1075
1706440,10000,10000, 36 months,15.05%,346.9,C,C4,"Program Director, LMFT",RENT,75000,Verified,Nov-17,Fully Paid,n,,other,Other,914xx,CA,14.29,0.1505
1888599,10000,10000, 36 months,16.46%,353.85,C,C5,"Grocery shopper, delivery",RENT,25000,Not Verified,Jun-18,Current,n,,credit_card,Credit card refinancing,230xx,VA,13.2,0.1646
1224926,1200,1200, 36 months,14.99%,41.6,C,C4,Product Manager,RENT,155000,Verified,Dec-16,Fully Paid,n,,other,Other,119xx,NY,20.19,0.1499
180105,10000,10000, 36 months,6.03%,304.36,A,A1,derse exhibits,MORTGAGE,83000,Not Verified,Dec-12,Fully Paid,n,,debt_consolidation,Debt consolidation,750xx,TX,23.9,0.0603
745566,28000,28000, 36 months,9.99%,903.35,B,B3,Senior Vice President,MORTGAGE,205000,Source Verified,May-15,Fully Paid,n,,credit_card,Credit card refinancing,800xx,CO,10.49,0.0999
728498,15000,15000, 36 months,11.53%,494.86,B,B5,1 level manager ,RENT,68000,Source Verified,Jun-15,Fully Paid,n,,debt_consolidation,Debt consolidation,952xx,CA,9.02,0.1153
480469,8000,8000, 36 months,9.17%,255.04,B,B2,owner,MORTGAGE,145000,Source Verified,Dec-15,Fully Paid,n,,small_business,Business,945xx,CA,22.76,0.0917
777856,7675,7675, 36 months,18.25%,278.44,E,E1,Superintendent,RENT,30000,Verified,May-15,Fully Paid,n,,other,Other,378xx,TN,32.08,0.1825
1099986,12000,12000, 36 months,11.99%,398.52,C,C1,Office Manager,RENT,42000,Source Verified,Apr-16,Charged Off,n,,other,Other,024xx,MA,19.8,0.1199
991145,4800,4800, 36 months,9.17%,153.02,B,B2,Data Processing Officer,MORTGAGE,44615,Not Verified,Jan-16,Fully Paid,n,,credit_card,Credit card refinancing,441xx,OH,20.07,0.0917
2052552,6000,6000, 36 months,7.21%,185.84,A,A3,,OWN,35000,Not Verified,Aug-18,Current,n,,home_improvement,Home improvement,571xx,SD,28.6,0.0721
1595873,20000,20000, 36 months,12.62%,670.23,C,C1,Manager of Accounting,RENT,53000,Not Verified,Aug-17,Fully Paid,n,,debt_consolidation,Debt consolidation,076xx,NJ,18.82,0.1262
1887591,5000,5000, 36 months,14.52%,172.16,C,C3,Transport driver,OWN,80000,Not Verified,Jun-18,Current,n,,debt_consolidation,Debt consolidation,310xx,GA,35.93,0.1452
1844300,40000,40000, 36 months,6.08%,1218.33,A,A2,Vice President,MORTGAGE,250000,Verified,Jan-18,Current,n,,debt_consolidation,Debt consolidation,352xx,AL,12.92,0.0608
1897360,15000,15000, 36 months,9.58%,481.06,B,B1,Regional Property Manager,RENT,70000,Not Verified,Jun-18,Current,n,,debt_consolidation,Debt consolidation,750xx,TX,30.72,0.0958
1692634,8800,8800, 36 months,10.91%,287.73,B,B4,RA evaluator  ,RENT,29400,Not Verified,Nov-17,Fully Paid,n,,debt_consolidation,Debt consolidation,805xx,CO,16.04,0.1091
1991078,4000,4000, 36 months,7.96%,125.28,A,A5,Superintendent,RENT,92000,Not Verified,Apr-18,Current,n,,debt_consolidation,Debt consolidation,474xx,IN,11.13,0.0796
1915787,35000,35000, 60 months,18.45%,897.37,D,D2,Nurse,RENT,40000,Verified,May-18,Current,n,,house,Home buying,356xx,AL,19.47,0.1845
745916,18000,17900, 36 months,5.32%,542.07,A,A1,Senior Validation Engineer,RENT,112000,Not Verified,May-15,Fully Paid,n,,credit_card,Credit card refinancing,941xx,CA,9.08,0.0532
1172698,19250,19250, 36 months,14.49%,662.51,C,C4,general manager,OWN,224000,Source Verified,Aug-16,Current,n,,home_improvement,Home improvement,999xx,AK,0.3,0.1449
102019,27000,27000, 60 months,16.78%,667.83,C,C5,ArtsWave,MORTGAGE,85000,Verified,Aug-13,Fully Paid,n,,credit_card,Credit Card Refinancing,452xx,OH,21.87,0.1678
1388941,11200,11200, 36 months,11.39%,368.75,B,B3,SFL,MORTGAGE,35000,Not Verified,Jan-17,Current,n,,credit_card,Credit card refinancing,463xx,IN,23.05,0.1139
1211249,15600,15600, 36 months,12.79%,524.05,C,C1,Inventory Manager,MORTGAGE,74000,Verified,Jul-16,Current,n,,debt_consolidation,Debt consolidation,760xx,TX,27.34,0.1279
2076142,6000,6000, 36 months,11.06%,196.61,B,B3,,RENT,16000,Source Verified,Aug-18,Current,n,,credit_card,Credit card refinancing,088xx,NJ,16.8,0.1106
1438256,14000,14000, 36 months,5.32%,421.61,A,A1,President ,MORTGAGE,179000,Not Verified,Jun-17,Current,n,,credit_card,Credit card refinancing,902xx,CA,22.5,0.0532
140235,25000,25000, 60 months,20.49%,669.19,E,E1,Great Expressions,RENT,125000,Verified,May-13,Charged Off,n,,debt_consolidation,Credit Card-Debt Consolidation,077xx,NJ,4.28,0.2049
1132925,24000,24000, 60 months,13.49%,552.12,C,C2,Regional Sales Manager,MORTGAGE,94000,Source Verified,Sep-16,In Grace Period,n,,debt_consolidation,Debt consolidation,064xx,CT,21.3,0.1349
735491,11425,11425, 60 months,17.86%,289.26,D,D5,LPN,OWN,26000,Source Verified,Jun-15,Charged Off,n,,debt_consolidation,Debt consolidation,417xx,KY,20.87,0.1786
1991797,10000,10000, 60 months,12.61%,225.54,C,C1,Quality Control Specialist,MORTGAGE,95000,Source Verified,Apr-18,Current,n,,house,Home buying,461xx,IN,6.94,0.1261
2050375,10000,10000, 36 months,6.67%,307.27,A,A2,ASST MGR,OWN,43000,Source Verified,Aug-18,Current,n,,credit_card,Credit card refinancing,454xx,OH,17.58,0.0667
1915015,24000,24000, 60 months,10.07%,510.76,B,B2,Account Executive,RENT,70000,Source Verified,May-18,Fully Paid,n,,debt_consolidation,Debt consolidation,087xx,NJ,29.78,0.1007
755549,2400,2400, 36 months,18.84%,87.79,E,E2,Shuttle Driver,RENT,23000,Not Verified,May-15,Fully Paid,n,,house,Home buying,956xx,CA,36.33,0.1884
304004,10375,10375, 36 months,15.61%,362.76,D,D1,Executive Assistant,MORTGAGE,65000,Source Verified,Sep-14,Fully Paid,n,,credit_card,Credit card refinancing,386xx,MS,26.59,0.1561
1515701,1000,1000, 36 months,15.99%,35.16,C,C5,,OWN,21984,Verified,Apr-17,Charged Off,n,,other,Other,925xx,CA,26.9,0.1599
628644,25000,25000, 36 months,6.89%,770.68,A,A3,Supervisor,MORTGAGE,110000,Source Verified,Aug-15,Fully Paid,n,,debt_consolidation,Debt consolidation,952xx,CA,27.83,0.0689
540526,12000,12000, 60 months,18.99%,311.23,E,E3,Social Worker,RENT,41000,Verified,Nov-15,Charged Off,n,,debt_consolidation,Credit card refinancing,681xx,NE,5.74,0.1899
1355898,35000,35000, 60 months,15.99%,850.95,C,C5,Registered Nurse,MORTGAGE,109000,Verified,Mar-17,Current,n,,debt_consolidation,Debt consolidation,064xx,CT,15.48,0.1599
1689653,25000,25000, 60 months,11.99%,555.99,B,B5,Engineer,MORTGAGE,125000,Not Verified,Nov-17,Current,n,,debt_consolidation,Debt consolidation,770xx,TX,3.57,0.1199
1710071,10000,10000, 36 months,13.59%,339.79,C,C2,Executive Vice President,RENT,135000,Not Verified,Nov-17,Current,n,,credit_card,Credit card refinancing,220xx,VA,5.42,0.1359
1332576,7500,7500, 36 months,5.32%,225.87,A,A1,"Director, Analytics",MORTGAGE,105000,Not Verified,Mar-17,Fully Paid,n,,debt_consolidation,Debt consolidation,535xx,WI,13.37,0.0532
1989499,21600,21600, 60 months,18.45%,553.8,D,D2,Transportation Security Officer,OWN,40000,Verified,Apr-18,Current,n,,major_purchase,Major purchase,782xx,TX,5.37,0.1845
1455418,15000,15000, 60 months,16.02%,364.94,C,C5,Teacher,MORTGAGE,65000,Not Verified,Jun-17,Current,n,,credit_card,Credit card refinancing,164xx,PA,15.34,0.1602
798690,6000,6000, 36 months,14.65%,206.97,C,C5,Assistant Manager ,RENT,25000,Verified,Apr-15,Fully Paid,n,,debt_consolidation,Debt consolidation,334xx,FL,21.72,0.1465
975824,12000,11975, 36 months,8.39%,378.2,B,B1,Driver,MORTGAGE,43000,Source Verified,Feb-16,Fully Paid,n,,credit_card,Credit card refinancing,541xx,WI,33.35,0.0839
128270,20000,20000, 60 months,19.05%,519.37,D,D4,Cole's Quality Foods Inc,OWN,60981,Verified,Jun-13,Fully Paid,n,,credit_card,debt consolidation,494xx,MI,14.05,0.1905
1107531,10000,10000, 36 months,9.75%,321.5,B,B3,Business Analyst,MORTGAGE,65000,Source Verified,Apr-16,Fully Paid,n,,debt_consolidation,Debt consolidation,306xx,GA,19.9,0.0975
